Name	$$	Address	Lat	Long
F&J Pine	2	1913 Bronxdale Avenue, Bronx	40.8487296	-73.8622597
Subway	1	968 Morris Park Avenue, Bronx	40.8474919	-73.8571386
Taqueria Tlaxcalli	1	2103 Starling Avenue, Bronx	40.8363814	-73.8549777
Starbucks	2	1385 Metropolitan Avenue, Bronx	40.835425	-73.8613878
Lucky Star	1	1924 Cross Bronx Expressway, Bronx	40.8325253	-73.859526
Brisas del Caribe	1	1207 Castle Hill Avenue, Bronx	40.8321282	-73.8513492
Domino's Pizza	1	2025-2027 Westchester Avenue, Bronx	40.8338818	-73.8568304
Circle Pizza	2	112 Hugh J. Grant Circle, Bronx	40.8324595	-73.8610747
Subway	1	961 East 174th Street, Bronx	40.8377802	-73.8844752
Momento	2	900 Morris Park Avenue, Bronx	40.8465637	-73.8589912
Jimbo's Hamburger Palace	1	346 Devoe Avenue, Bronx	40.8391801	-73.8777906
Au Bon Pain	2	1400 Pelham Parkway South, Bronx	40.8560504	-73.8473987
Caridad	1	1436 Williamsbridge Road, Bronx	40.8431572	-73.8447117
Domino's Pizza	1	738 Morris Park Avenue, Bronx	40.845313	-73.8646389
IHOP	1	961 East 174th Street, Bronx	40.8374967	-73.8842015
Subway	1	1957 Westchester Avenue, Bronx	40.8337	-73.8589959
Bronx Grill	None	2375 East Tremont Avenue, Bronx	40.8425623	-73.8553572
Enzo's Of Williamsbridge	2	1998 Williamsbridge Road, Bronx	40.8541924	-73.8540129
St. Lawrence Pizza and Chicken	2	1788 Westchester Avenue, Bronx	40.831522	-73.866817
Domino's Pizza	1	921 East Tremont Avenue Ste A, Bronx	40.8419492	-73.8836145
Wendy's	1	2140 Westchester Avenue, Bronx	40.8338235	-73.8529678
McDonald's	1	1826 Eastchester Road, Bronx	40.8495661	-73.8446447
La Cocina Boricua	2	2245 Westchester Avenue, Bronx	40.8344914	-73.8505394
Patricia's of Morris Park	2	1082 Morris Park Avenue, Bronx	40.849172	-73.8533122
Papa John's Pizza	1	868 East Tremont Avenue, Bronx	40.8428499	-73.8862186
Subway	1	1448 East Avenue Unit G-7, Bronx	40.8360111	-73.8600018
Packsun	1	2160 Westchester Avenue, Bronx	40.8339714	-73.8523307
Burger King	1	60 Metropolitan Oval, Bronx	40.8375272	-73.8601354
Evo Cocktail Lounge & Restaurant	2	1306 Unionport Road, Bronx	40.8345125	-73.8536237
George's Diner	1	2369 Westchester Avenue, Bronx	40.8368085	-73.8469099
Mr Q's	2	2115 Williamsbridge Road, Bronx	40.8557802	-73.8558213
Subway	1	1720 Eastchester Road, Bronx	40.8468188	-73.843508
Fresh Tortillas	None	2123 Williamsbridge Road, Bronx	40.8559732	-73.8558419
Dunkin'	1	1374 Metropolitan Avenue, Bronx	40.8352404	-73.8608244
Subway	1	2173A White Plains Road, Bronx	40.8557828	-73.867925
China Garden Restaurant	1	1205 Stratford Avenue, Bronx	40.8295449	-73.875699
Fine Food Cuisine	None	671 Morris Park Avenue, Bronx	40.8451825	-73.8670339
HealthyHolic Kitchen	None	1622 Bronxdale Avenue, Bronx	40.8443451	-73.8575964
taqueria lupita II	1	1770 East Tremont Avenue, Bronx	40.839619	-73.868714
Thai Cuisine	2	1509 White Plains Road, Bronx	40.8381311	-73.8638145
Take chef Home Catering	None	2563 Maclay Avenue #45, Bronx	40.8428972	-73.8475334
Patsy's Pizzeria Morris Park	2	980 Morris Park Avenue, Bronx	40.8477005	-73.8565725
La Masa	2	1000 Morris Park Avenue, Bronx	40.8479906	-73.8559472
Sizzler	2	2375 East Tremont Avenue, Bronx	40.8426529	-73.8553064
Popeyes Louisiana Kitchen	1	60 Metropolitan Oval, Bronx	40.8374783	-73.8600032
Healthy Fresh	None	1033 Morris Park Avenue, Bronx	40.8487312	-73.8552435
EZ Grill NYC	1	790 Lydig Avenue, Bronx	40.854301	-73.864142
Top Choice	None	746 Lydig Avenue, Bronx	40.8543465	-73.866033
Subway	1	1885 Westchester Avenue, Bronx	40.8331567	-73.8632155
Texano	2	2031 Westchester Avenue, Bronx	40.8338579	-73.8566451
Dunkin'	1	Bp, 1730 Cross Bronx Expressway, Bronx	40.8354835	-73.8705729
Popeyes Louisiana Kitchen	1	2176-a, White Plains Road, Bronx	40.8556558	-73.8673187
Halal Skinny Guys MIDO	None	1300 Virginia Avenue, Bronx	40.833791	-73.861362
Boston Market	1	29 Hugh J. Grant Circle, Bronx	40.8338037	-73.8611886
The Healthy Kitchen	2	1135C Morris Park Avenue, Bronx	40.8503353	-73.851727
Al-Aqsa Restaurant	2	2107 Starling Avenue, Bronx	40.8362928	-73.8548804
Starbucks	2	2188 White Plains Road, Bronx	40.8561752	-73.867452
Premium Sweets and Restuarant	2	2104 Starling Avenue, Bronx	40.8359353	-73.854874
Subway	1	2026 Boston Road Store 10, Bronx	40.8406065	-73.8791527
Isla Cafe	2	1859 Westchester Avenue, Bronx	40.832814	-73.863949
